date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2008-09-11,sh.000001,2143.4000,2148.1240,2070.4270,2078.9810,2150.7590,3644180300,27236533711.0000,3,0.007952,1,-3.337337,0
2008-09-12,sh.000001,2077.5500,2104.6260,2064.2900,2079.6730,2078.9810,3031247500,22716506578.0000,3,0.006613,1,0.033292,0
2008-09-16,sh.000001,2049.8130,2049.8130,1974.3880,1986.6360,2079.6730,4622344500,33820604460.0000,3,0.010081,1,-4.473641,0
2008-09-17,sh.000001,1971.9440,1999.9530,1922.6800,1929.0470,1986.6360,4585347200,32005441361.0000,3,0.010000,1,-2.898819,0
2008-09-18,sh.000001,1876.1220,1942.8460,1802.3310,1895.8370,1929.0470,6633320200,43437772072.0000,3,0.014466,1,-1.721573,0
2008-09-19,sh.000001,2067.6430,2075.0910,2043.3160,2075.0910,1895.8370,5843353600,41555012488.0000,3,0.012663,1,9.455139,0
2008-09-22,sh.000001,2241.7230,2269.7330,2164.7980,2236.4100,2075.0910,13993063600,113692449242.0000,3,0.030320,1,7.774061,0
2008-09-23,sh.000001,2209.1220,2253.3950,2181.9600,2201.5100,2236.4100,10016515200,77600430791.0000,3,0.021655,1,-1.560532,0
2008-09-24,sh.000001,2133.0980,2218.2910,2116.9600,2216.8110,2201.5100,6454781800,49021260465.0000,3,0.013944,1,0.695024,0
2008-09-25,sh.000001,2214.5840,2333.2770,2211.4500,2297.5010,2216.8110,10123040400,83512907016.0000,3,0.021869,1,3.639911,0
2008-09-26,sh.000001,2304.1190,2310.4450,2246.2790,2293.7840,2297.5010,7825930700,66635113117.0000,3,0.016904,1,-0.161786,0
2008-10-06,sh.000001,2267.3940,2267.3940,2172.5690,2173.7380,2293.7840,6093813700,47348416157.0000,3,0.013157,1,-5.233531,0
2008-10-07,sh.000001,2101.0930,2182.9980,2072.8960,2157.8390,2173.7380,5690261100,47167609080.0000,3,0.012285,1,-0.731410,0
2008-10-08,sh.000001,2095.9110,2127.0850,2059.0860,2092.2240,2157.8390,5075947300,40761269628.0000,3,0.010959,1,-3.040773,0
2008-10-09,sh.000001,2125.5670,2130.8700,2063.4080,2074.5830,2092.2240,4507100100,35875033478.0000,3,0.009731,1,-0.843175,0
2008-10-10,sh.000001,1995.9570,2027.8310,1963.1830,2000.5720,2074.5830,5407752700,38454349958.0000,3,0.011675,1,-3.567512,0
2008-10-13,sh.000001,1978.5600,2074.4680,1931.4720,2073.5680,2000.5720,5663380600,41943161643.0000,3,0.012225,1,3.648761,0
2008-10-14,sh.000001,2139.0650,2146.7300,2016.1840,2017.3210,2073.5680,6804248300,53353969196.0000,3,0.014688,1,-2.712574,0
2008-10-15,sh.000001,1995.8850,2013.4910,1963.1030,1994.6670,2017.3210,4081795700,29604089410.0000,3,0.008811,1,-1.122977,0
2008-10-16,sh.000001,1916.1330,1943.3200,1901.5030,1909.9410,1994.6670,5067244700,35148740337.0000,3,0.010836,1,-4.247624,0
